id,convnext_pred,swinv2_pred,qwen_pred,is_conflict,final_pred
1,2,2,2,False,2
10,2,2,2,False,2
100,0,0,0,False,0
1000,2,2,2,False,2
1001,0,0,0,False,0
1002,2,2,2,False,2
1003,0,2,0,True,0
1004,0,0,0,False,0
1005,1,1,1,False,1
1006,2,2,2,False,2
1007,2,2,2,False,2
1008,0,0,0,False,0
1009,2,2,2,False,2
101,0,0,0,False,0
1010,0,0,0,False,0
1011,1,1,1,False,1
1012,2,2,2,False,2
1013,0,0,0,False,0
1014,1,1,1,False,1
1015,2,2,2,False,2
1016,2,2,2,False,2
1017,0,2,0,True,0
1018,0,1,0,True,0
1019,1,1,1,False,1
102,2,2,2,False,2
1020,1,1,2,False,1
1021,2,2,2,False,2
1022,0,0,0,False,0
1023,0,2,0,True,0
1024,2,2,2,False,2
1025,1,1,1,False,1
1026,2,2,2,False,2
1027,0,0,0,False,0
1028,2,2,2,False,2
1029,1,1,0,False,1
103,0,0,0,False,0
1030,1,1,1,False,1
1031,2,2,2,False,2
1032,1,1,1,False,1
1033,2,0,0,True,0
1034,2,2,2,False,2
1035,2,0,0,True,0
1036,2,2,2,False,2
1037,2,2,2,False,2
1038,2,2,2,False,2
1039,0,0,0,False,0
104,2,2,2,False,2
1040,0,0,0,False,0
1041,1,1,1,False,1
1042,2,2,2,False,2
1043,2,2,2,False,2
1044,0,2,0,True,0
1045,2,2,2,False,2
1046,0,0,0,False,0
1047,2,2,2,False,2
1048,2,2,2,False,2
1049,2,2,2,False,2
105,2,2,2,False,2
1050,1,1,1,False,1
1051,0,0,0,False,0
1052,2,2,2,False,2
1053,0,0,2,False,0
1054,0,0,0,False,0
1055,2,2,2,False,2
1056,2,2,2,False,2
1057,0,0,0,False,0
1058,0,0,0,False,0
1059,2,2,2,False,2
106,0,0,0,False,0
1060,2,2,2,False,2
1061,0,0,0,False,0
1062,2,2,2,False,2
1063,2,2,2,False,2
1064,0,2,0,True,0
1065,1,1,1,False,1
1066,0,0,0,False,0
1067,2,2,2,False,2
1068,0,0,0,False,0
1069,2,2,2,False,2
107,0,0,0,False,0
1070,2,2,0,False,2
1071,2,2,0,False,2
1072,2,2,2,False,2
1073,1,1,1,False,1
1074,1,1,0,False,1
1075,0,0,0,False,0
1076,2,2,2,False,2
1077,0,0,0,False,0
1078,2,2,2,False,2
1079,0,0,0,False,0
108,2,2,2,False,2
1080,0,0,0,False,0
1081,1,1,1,False,1
1082,2,2,2,False,2
1083,1,1,1,False,1
1084,0,0,0,False,0
1085,0,0,0,False,0
1086,2,2,2,False,2
1087,2,2,2,False,2
1088,0,0,0,False,0
1089,1,1,0,False,1
109,2,2,2,False,2
1090,2,2,2,False,2
1091,0,2,0,True,0
1092,2,2,0,False,2
1093,2,2,2,False,2
1094,2,2,2,False,2
1095,2,2,2,False,2
1096,1,1,1,False,1
1097,2,2,2,False,2
1098,2,2,2,False,2
1099,2,2,2,False,2
11,0,2,0,True,0
110,2,2,2,False,2
1100,2,2,2,False,2
1101,0,2,0,True,0
1102,2,2,2,False,2
1103,2,2,2,False,2
1104,2,2,2,False,2
1105,0,0,0,False,0
1106,0,0,0,False,0
1107,0,0,0,False,0
1108,0,0,0,False,0
1109,2,2,2,False,2
111,2,0,2,True,2
1110,2,2,2,False,2
1111,2,2,2,False,2
1112,0,2,0,True,0
1113,2,2,2,False,2
1114,0,0,0,False,0
1115,1,1,1,False,1
1116,1,1,1,False,1
1117,0,0,0,False,0
1118,2,2,2,False,2
1119,0,0,0,False,0
112,0,0,0,False,0
1120,0,0,0,False,0
1121,0,0,0,False,0
1122,2,2,2,False,2
1123,0,0,0,False,0
1124,1,1,1,False,1
1125,2,2,2,False,2
1126,2,2,2,False,2
1127,1,1,1,False,1
1128,0,0,0,False,0
1129,2,2,2,False,2
113,2,2,2,False,2
1130,0,0,0,False,0
1131,1,1,1,False,1
1132,2,2,2,False,2
1133,0,2,0,True,0
1134,1,1,1,False,1
1135,0,0,0,False,0
1136,2,0,0,True,0
1137,0,0,0,False,0
1138,0,0,0,False,0
1139,0,0,0,False,0
114,0,0,0,False,0
1140,1,1,1,False,1
1141,0,0,0,False,0
1142,2,2,2,False,2
1143,1,1,0,False,1
1144,0,0,0,False,0
1145,1,1,1,False,1
1146,2,2,2,False,2
1147,2,2,2,False,2
1148,0,0,0,False,0
1149,2,2,2,False,2
115,0,0,0,False,0
1150,2,2,2,False,2
1151,2,2,2,False,2
1152,2,2,2,False,2
1153,2,2,2,False,2
1154,0,0,0,False,0
1155,2,2,2,False,2
1156,0,0,0,False,0
1157,2,2,2,False,2
1158,2,2,2,False,2
1159,0,0,0,False,0
116,2,2,0,False,2
1160,0,0,0,False,0
1161,2,2,2,False,2
1162,2,2,2,False,2
1163,0,0,0,False,0
1164,2,2,2,False,2
1165,2,2,2,False,2
1166,2,2,2,False,2
1167,2,2,2,False,2
1168,2,2,2,False,2
1169,1,1,1,False,1
117,0,0,0,False,0
1170,2,2,2,False,2
1171,2,2,2,False,2
1172,2,2,2,False,2
1173,2,2,2,False,2
1174,2,2,2,False,2
1175,0,0,0,False,0
1176,2,2,2,False,2
1177,0,0,0,False,0
1178,2,2,2,False,2
1179,2,2,2,False,2
118,0,0,0,False,0
1180,0,0,0,False,0
1181,0,0,0,False,0
1182,0,0,0,False,0
1183,2,2,2,False,2
1184,2,2,2,False,2
1185,2,2,0,False,2
1186,2,2,2,False,2
1187,0,0,0,False,0
1188,0,0,0,False,0
1189,2,2,0,False,2
119,1,1,1,False,1
1190,2,2,2,False,2
1191,0,0,0,False,0
1192,0,0,0,False,0
1193,0,0,0,False,0
1194,2,2,2,False,2
1195,2,2,2,False,2
1196,2,2,2,False,2
1197,2,2,2,False,2
1198,0,2,0,True,0
1199,0,2,2,True,2
12,0,0,0,False,0
120,2,2,2,False,2
1200,2,2,2,False,2
1201,2,2,2,False,2
1202,2,2,2,False,2
1203,2,2,2,False,2
1204,2,2,2,False,2
1205,2,2,2,False,2
1206,0,0,2,False,0
1207,2,2,2,False,2
1208,1,1,1,False,1
1209,2,2,2,False,2
121,2,2,2,False,2
1210,0,2,0,True,0
1211,2,2,2,False,2
1212,0,0,0,False,0
1213,2,2,2,False,2
1214,0,0,0,False,0
1215,2,2,2,False,2
1216,2,2,2,False,2
1217,0,0,0,False,0
1218,2,2,2,False,2
1219,1,1,1,False,1
122,1,1,1,False,1
1220,1,1,1,False,1
1221,2,2,2,False,2
1222,2,2,2,False,2
1223,2,2,2,False,2
1224,2,0,0,True,0
1225,0,0,0,False,0
1226,2,2,2,False,2
1227,0,0,0,False,0
1228,0,0,0,False,0
1229,2,2,2,False,2
123,2,2,2,False,2
1230,2,2,2,False,2
1231,0,0,0,False,0
1232,0,1,0,True,0
1233,1,1,1,False,1
1234,1,1,0,False,1
1235,2,2,2,False,2
1236,2,2,2,False,2
1237,2,2,2,False,2
1238,0,0,0,False,0
1239,0,0,0,False,0
124,0,0,0,False,0
1240,2,2,2,False,2
1241,2,2,2,False,2
1242,0,0,0,False,0
1243,2,2,2,False,2
1244,1,1,1,False,1
1245,0,0,0,False,0
1246,2,2,2,False,2
1247,2,2,2,False,2
1248,2,2,2,False,2
1249,2,2,2,False,2
125,2,2,2,False,2
1250,0,0,0,False,0
1251,2,2,2,False,2
1252,0,0,0,False,0
1253,2,2,2,False,2
1254,2,2,2,False,2
1255,2,2,2,False,2
1256,1,1,1,False,1
1257,0,0,0,False,0
1258,0,2,0,True,0
1259,2,2,2,False,2
126,2,2,2,False,2
1260,1,1,1,False,1
1261,2,2,2,False,2
1262,2,2,2,False,2
1263,0,0,0,False,0
1264,0,0,0,False,0
1265,2,2,2,False,2
1266,2,2,2,False,2
1267,2,2,2,False,2
1268,2,2,2,False,2
1269,2,2,2,False,2
127,2,2,2,False,2
1270,2,2,2,False,2
1271,0,0,0,False,0
1272,2,2,0,False,2
1273,2,2,2,False,2
1274,2,2,2,False,2
1275,1,1,1,False,1
1276,2,2,2,False,2
1277,1,1,1,False,1
1278,0,0,0,False,0
1279,2,2,2,False,2
128,2,2,2,False,2
1280,2,2,2,False,2
1281,1,1,1,False,1
1282,2,2,2,False,2
1283,0,2,0,True,0
1284,2,2,2,False,2
1285,1,1,1,False,1
1286,2,2,2,False,2
1287,1,1,1,False,1
1288,2,2,2,False,2
1289,0,0,0,False,0
129,2,2,2,False,2
1290,2,2,2,False,2
1291,2,2,2,False,2
1292,2,2,2,False,2
1293,0,0,0,False,0
1294,0,0,0,False,0
1295,0,0,0,False,0
1296,2,2,2,False,2
1297,1,1,1,False,1
1298,0,0,0,False,0
1299,2,2,2,False,2
13,1,1,1,False,1
130,0,0,0,False,0
1300,0,0,0,False,0
1301,2,2,2,False,2
1302,1,1,1,False,1
1303,2,2,2,False,2
1304,0,0,0,False,0
1305,2,2,2,False,2
1306,2,2,2,False,2
1307,1,1,1,False,1
1308,2,2,2,False,2
1309,0,0,0,False,0
131,2,2,2,False,2
1310,0,0,0,False,0
1311,1,1,1,False,1
1312,2,2,2,False,2
1313,0,0,0,False,0
1314,0,0,0,False,0
1315,2,2,2,False,2
1316,0,0,0,False,0
1317,2,2,2,False,2
1318,2,2,2,False,2
1319,2,2,2,False,2
132,2,2,0,False,2
1320,2,2,2,False,2
1321,2,2,2,False,2
1322,2,2,2,False,2
1323,0,0,0,False,0
1324,2,2,2,False,2
1325,2,2,2,False,2
1326,0,2,0,True,0
1327,2,2,2,False,2
1328,0,0,0,False,0
1329,0,0,0,False,0
133,1,1,1,False,1
1330,0,0,0,False,0
1331,0,0,0,False,0
1332,2,2,2,False,2
1333,2,2,2,False,2
1334,2,2,2,False,2
1335,0,0,0,False,0
1336,2,2,2,False,2
1337,0,0,0,False,0
1338,2,2,2,False,2
1339,0,0,0,False,0
134,2,2,0,False,2
1340,2,2,0,False,2
1341,0,0,0,False,0
1342,0,0,0,False,0
1343,2,2,0,False,2
1344,2,2,0,False,2
1345,0,0,0,False,0
1346,0,0,0,False,0
1347,1,1,1,False,1
1348,2,2,2,False,2
1349,1,1,1,False,1
135,1,1,1,False,1
1350,0,0,0,False,0
1351,0,0,0,False,0
1352,2,2,2,False,2
1353,2,2,2,False,2
1354,2,2,2,False,2
1355,0,0,0,False,0
1356,2,2,2,False,2
1357,2,2,2,False,2
1358,2,2,2,False,2
1359,2,2,2,False,2
136,0,0,0,False,0
1360,2,2,2,False,2
1361,2,2,2,False,2
1362,0,0,0,False,0
1363,2,2,2,False,2
1364,0,0,0,False,0
1365,1,1,1,False,1
1366,0,0,0,False,0
1367,2,2,2,False,2
1368,2,2,2,False,2
1369,2,2,2,False,2
137,1,1,1,False,1
1370,0,0,0,False,0
1371,0,0,0,False,0
1372,2,2,2,False,2
1373,2,2,0,False,2
1374,2,2,2,False,2
1375,1,1,1,False,1
1376,0,0,0,False,0
1377,0,0,0,False,0
1378,2,2,2,False,2
1379,0,0,0,False,0
138,0,0,0,False,0
1380,2,2,2,False,2
1381,0,0,0,False,0
1382,0,0,0,False,0
1383,1,1,1,False,1
1384,1,1,1,False,1
1385,2,2,2,False,2
1386,0,0,0,False,0
1387,0,0,0,False,0
1388,1,1,1,False,1
1389,2,2,2,False,2
139,2,2,2,False,2
1390,1,1,1,False,1
1391,0,0,0,False,0
1392,0,0,0,False,0
1393,0,0,0,False,0
1394,2,2,2,False,2
1395,2,2,2,False,2
1396,0,0,0,False,0
1397,0,0,0,False,0
1398,0,0,0,False,0
1399,2,2,2,False,2
14,2,2,2,False,2
140,1,1,1,False,1
1400,2,2,2,False,2
1401,0,0,0,False,0
1402,0,1,0,True,0
1403,0,0,0,False,0
1404,2,2,2,False,2
1405,0,0,0,False,0
1406,0,0,0,False,0
1407,2,2,0,False,2
1408,1,1,1,False,1
1409,0,0,0,False,0
141,0,0,0,False,0
1410,2,2,2,False,2
1411,0,2,0,True,0
1412,2,2,2,False,2
1413,0,0,0,False,0
1414,1,1,1,False,1
1415,0,0,0,False,0
1416,0,0,0,False,0
1417,2,2,2,False,2
1418,0,0,0,False,0
1419,2,2,2,False,2
142,2,2,2,False,2
1420,2,2,2,False,2
1421,2,2,2,False,2
1422,1,1,1,False,1
1423,0,0,0,False,0
1424,0,0,0,False,0
1425,2,2,2,False,2
1426,0,0,0,False,0
1427,0,0,0,False,0
1428,2,2,2,False,2
1429,2,2,0,False,2
143,2,2,2,False,2
1430,0,0,0,False,0
1431,1,1,0,False,1
1432,2,2,2,False,2
1433,2,2,2,False,2
1434,0,2,0,True,0
1435,2,2,2,False,2
1436,2,2,2,False,2
1437,0,0,0,False,0
1438,0,0,0,False,0
1439,0,0,0,False,0
144,0,0,0,False,0
1440,2,0,0,True,0
1441,0,0,0,False,0
1442,2,2,2,False,2
1443,2,2,2,False,2
1444,0,0,0,False,0
1445,0,2,0,True,0
1446,0,0,0,False,0
1447,2,2,2,False,2
1448,2,2,2,False,2
1449,2,2,2,False,2
145,0,0,0,False,0
1450,2,2,2,False,2
1451,0,0,0,False,0
1452,1,1,0,False,1
1453,1,1,1,False,1
1454,2,2,2,False,2
1455,2,2,2,False,2
1456,0,0,0,False,0
1457,2,2,2,False,2
1458,0,0,0,False,0
146,2,2,2,False,2
147,2,2,2,False,2
148,0,0,0,False,0
149,2,2,2,False,2
15,2,2,2,False,2
150,2,2,2,False,2
151,2,2,2,False,2
152,0,0,0,False,0
153,2,2,2,False,2
154,1,1,1,False,1
155,0,0,0,False,0
156,2,2,2,False,2
157,1,1,0,False,1
158,0,0,0,False,0
159,2,2,2,False,2
16,0,0,0,False,0
160,0,0,0,False,0
161,0,0,0,False,0
162,0,0,0,False,0
163,0,0,0,False,0
164,0,0,0,False,0
165,2,2,2,False,2
166,0,0,0,False,0
167,2,2,2,False,2
168,2,2,2,False,2
169,0,0,0,False,0
17,2,0,2,True,2
170,2,2,2,False,2
171,2,2,2,False,2
172,1,1,1,False,1
173,0,0,0,False,0
174,0,0,0,False,0
175,2,2,2,False,2
176,2,2,2,False,2
177,0,0,0,False,0
178,0,0,0,False,0
179,0,0,0,False,0
18,2,2,2,False,2
180,2,2,0,False,2
181,0,0,0,False,0
182,1,1,1,False,1
183,2,2,0,False,2
184,0,1,0,True,0
185,1,1,1,False,1
186,2,2,2,False,2
187,0,0,0,False,0
188,0,0,0,False,0
189,2,2,2,False,2
19,2,2,0,False,2
190,2,2,2,False,2
191,2,2,2,False,2
192,1,1,1,False,1
193,0,0,0,False,0
194,1,1,2,False,1
195,0,0,0,False,0
196,2,2,2,False,2
197,0,0,0,False,0
198,0,0,0,False,0
199,1,1,1,False,1
2,2,2,2,False,2
20,0,0,0,False,0
200,1,1,1,False,1
201,2,2,0,False,2
202,2,2,2,False,2
203,0,0,0,False,0
204,0,0,0,False,0
205,2,2,2,False,2
206,0,0,0,False,0
207,2,2,2,False,2
208,2,2,2,False,2
209,2,2,2,False,2
21,2,2,0,False,2
210,0,0,0,False,0
211,2,2,2,False,2
212,0,0,0,False,0
213,1,1,1,False,1
214,1,1,1,False,1
215,0,0,0,False,0
216,0,0,0,False,0
217,1,1,1,False,1
218,2,2,2,False,2
219,2,2,2,False,2
22,0,0,0,False,0
220,2,2,2,False,2
221,0,0,0,False,0
222,1,1,1,False,1
223,2,2,2,False,2
224,2,2,2,False,2
225,1,1,2,False,1
226,2,2,2,False,2
227,2,2,2,False,2
228,1,1,0,False,1
229,0,0,0,False,0
23,0,0,0,False,0
230,2,2,2,False,2
231,2,2,2,False,2
232,2,2,2,False,2
233,0,0,0,False,0
234,0,0,0,False,0
235,1,1,1,False,1
236,2,2,2,False,2
237,2,2,2,False,2
238,2,2,2,False,2
239,0,0,0,False,0
24,2,2,2,False,2
240,2,2,2,False,2
241,2,2,2,False,2
242,2,2,2,False,2
243,2,2,2,False,2
244,1,1,1,False,1
245,2,2,2,False,2
246,2,2,2,False,2
247,2,2,2,False,2
248,0,0,0,False,0
249,1,1,1,False,1
25,0,0,-1,False,0
250,1,1,1,False,1
251,2,2,2,False,2
252,2,2,2,False,2
253,1,1,1,False,1
254,2,2,2,False,2
255,0,0,0,False,0
256,1,1,1,False,1
257,0,0,0,False,0
258,2,2,2,False,2
259,2,2,2,False,2
26,2,2,2,False,2
260,2,2,2,False,2
261,1,1,0,False,1
262,0,0,0,False,0
263,2,2,2,False,2
264,0,0,0,False,0
265,1,1,1,False,1
266,2,2,2,False,2
267,0,0,0,False,0
268,2,2,2,False,2
269,2,2,2,False,2
27,0,0,0,False,0
270,0,0,0,False,0
271,2,2,2,False,2
272,2,2,2,False,2
273,0,0,0,False,0
274,2,2,2,False,2
275,0,0,0,False,0
276,2,2,2,False,2
277,2,2,2,False,2
278,2,2,2,False,2
279,0,0,0,False,0
28,2,2,2,False,2
280,0,0,0,False,0
281,2,2,2,False,2
282,0,0,0,False,0
283,1,1,1,False,1
284,2,2,2,False,2
285,2,2,2,False,2
286,0,0,0,False,0
287,2,2,2,False,2
288,2,2,2,False,2
289,2,2,2,False,2
29,0,2,0,True,0
290,2,2,2,False,2
291,2,2,2,False,2
292,2,2,2,False,2
293,0,0,0,False,0
294,2,2,2,False,2
295,2,2,2,False,2
296,2,2,2,False,2
297,0,0,0,False,0
298,1,1,1,False,1
299,0,0,0,False,0
3,2,2,2,False,2
30,0,1,0,True,0
300,2,2,2,False,2
301,1,1,1,False,1
302,0,0,0,False,0
303,2,2,2,False,2
304,0,0,0,False,0
305,2,2,2,False,2
306,2,2,2,False,2
307,1,1,1,False,1
308,0,0,0,False,0
309,2,2,2,False,2
31,2,2,2,False,2
310,2,2,2,False,2
311,0,0,0,False,0
312,2,0,0,True,0
313,2,2,2,False,2
314,2,2,2,False,2
315,2,2,2,False,2
316,0,0,0,False,0
317,2,2,2,False,2
318,2,2,2,False,2
319,2,2,2,False,2
32,0,0,0,False,0
320,1,1,1,False,1
321,2,2,2,False,2
322,2,2,2,False,2
323,2,2,2,False,2
324,1,1,1,False,1
325,1,1,1,False,1
326,1,1,1,False,1
327,0,0,0,False,0
328,2,2,2,False,2
329,0,0,0,False,0
33,1,1,1,False,1
330,0,0,0,False,0
331,2,2,2,False,2
332,0,0,0,False,0
333,0,0,0,False,0
334,0,0,0,False,0
335,2,2,2,False,2
336,2,2,2,False,2
337,1,1,1,False,1
338,1,1,1,False,1
339,2,2,2,False,2
34,0,0,0,False,0
340,0,2,0,True,0
341,2,2,2,False,2
342,0,0,0,False,0
343,2,2,2,False,2
344,0,0,0,False,0
345,0,0,0,False,0
346,2,2,2,False,2
347,0,0,0,False,0
348,2,2,2,False,2
349,2,2,2,False,2
35,0,0,0,False,0
350,0,0,0,False,0
351,0,2,0,True,0
352,2,2,2,False,2
353,2,2,2,False,2
354,1,1,1,False,1
355,2,2,2,False,2
356,0,0,0,False,0
357,2,2,2,False,2
358,0,0,0,False,0
359,0,0,0,False,0
36,2,2,2,False,2
360,0,0,0,False,0
361,0,0,0,False,0
362,2,2,2,False,2
363,2,2,0,False,2
364,2,2,2,False,2
365,2,2,2,False,2
366,1,1,0,False,1
367,2,2,2,False,2
368,0,0,0,False,0
369,2,2,2,False,2
37,0,0,0,False,0
370,2,2,2,False,2
371,2,2,2,False,2
372,0,2,0,True,0
373,0,0,0,False,0
374,2,2,2,False,2
375,2,2,2,False,2
376,1,1,1,False,1
377,1,1,1,False,1
378,1,1,1,False,1
379,2,2,2,False,2
38,0,0,0,False,0
380,2,2,2,False,2
381,0,0,0,False,0
382,2,2,2,False,2
383,0,0,0,False,0
384,2,2,2,False,2
385,2,2,2,False,2
386,2,2,2,False,2
387,1,1,1,False,1
388,0,0,0,False,0
389,0,0,0,False,0
39,2,2,2,False,2
390,1,1,1,False,1
391,2,2,2,False,2
392,2,2,0,False,2
393,0,0,0,False,0
394,0,0,0,False,0
395,2,2,2,False,2
396,0,0,0,False,0
397,2,2,2,False,2
398,2,2,2,False,2
399,2,2,2,False,2
4,1,1,1,False,1
40,2,2,2,False,2
400,2,2,2,False,2
401,2,2,2,False,2
402,0,0,0,False,0
403,0,0,0,False,0
404,0,0,0,False,0
405,0,0,0,False,0
406,0,0,0,False,0
407,0,0,0,False,0
408,2,2,2,False,2
409,2,2,2,False,2
41,0,0,0,False,0
410,2,2,2,False,2
411,0,0,0,False,0
412,2,2,2,False,2
413,2,0,0,True,0
414,1,1,1,False,1
415,2,2,2,False,2
416,1,1,1,False,1
417,0,0,0,False,0
418,0,0,0,False,0
419,2,2,2,False,2
42,0,0,0,False,0
420,2,2,2,False,2
421,2,2,2,False,2
422,2,2,2,False,2
423,1,1,1,False,1
424,1,1,0,False,1
425,2,2,2,False,2
426,2,2,2,False,2
427,1,1,1,False,1
428,0,0,0,False,0
429,2,2,2,False,2
43,2,2,2,False,2
430,2,2,2,False,2
431,0,2,0,True,0
432,0,0,0,False,0
433,1,1,1,False,1
434,0,0,0,False,0
435,2,2,2,False,2
436,1,1,1,False,1
437,2,2,2,False,2
438,2,2,2,False,2
439,0,0,0,False,0
44,0,0,0,False,0
440,2,2,2,False,2
441,0,0,0,False,0
442,1,1,1,False,1
443,1,1,1,False,1
444,0,0,0,False,0
445,2,2,2,False,2
446,2,2,2,False,2
447,2,2,2,False,2
448,0,0,0,False,0
449,2,2,2,False,2
45,2,2,2,False,2
450,2,2,2,False,2
451,2,2,2,False,2
452,0,0,0,False,0
453,1,1,1,False,1
454,2,2,2,False,2
455,2,2,2,False,2
456,2,2,2,False,2
457,2,2,2,False,2
458,0,0,0,False,0
459,0,0,2,False,0
46,2,2,2,False,2
460,0,0,0,False,0
461,1,1,1,False,1
462,0,0,0,False,0
463,0,0,0,False,0
464,2,2,2,False,2
465,0,0,0,False,0
466,2,2,2,False,2
467,2,2,2,False,2
468,2,2,2,False,2
469,1,1,1,False,1
47,0,0,0,False,0
470,2,2,2,False,2
471,0,0,0,False,0
472,1,1,1,False,1
473,2,2,2,False,2
474,2,2,2,False,2
475,0,0,0,False,0
476,2,2,2,False,2
477,0,0,0,False,0
478,2,2,2,False,2
479,2,2,2,False,2
48,0,0,0,False,0
480,2,2,2,False,2
481,0,0,0,False,0
482,2,2,2,False,2
483,1,1,1,False,1
484,2,2,2,False,2
485,0,0,0,False,0
486,2,2,0,False,2
487,0,2,2,True,2
488,0,0,0,False,0
489,2,2,2,False,2
49,2,2,2,False,2
490,0,2,0,True,0
491,2,2,2,False,2
492,0,0,0,False,0
493,0,2,0,True,0
494,2,2,2,False,2
495,2,2,2,False,2
496,2,2,2,False,2
497,2,2,2,False,2
498,2,2,2,False,2
499,2,2,0,False,2
5,0,0,0,False,0
50,2,2,2,False,2
500,1,1,1,False,1
501,2,2,2,False,2
502,2,2,2,False,2
503,0,0,0,False,0
504,0,0,0,False,0
505,0,0,0,False,0
506,0,0,0,False,0
507,1,1,1,False,1
508,2,2,0,False,2
509,2,2,2,False,2
51,2,2,2,False,2
510,2,2,2,False,2
511,0,0,0,False,0
512,0,0,0,False,0
513,2,2,2,False,2
514,0,0,0,False,0
515,0,0,0,False,0
516,0,0,0,False,0
517,2,2,0,False,2
518,0,0,0,False,0
519,2,2,2,False,2
52,0,0,0,False,0
520,2,2,2,False,2
521,2,2,2,False,2
522,2,2,0,False,2
523,0,0,0,False,0
524,0,0,0,False,0
525,2,2,2,False,2
526,0,0,0,False,0
527,1,1,1,False,1
528,1,1,1,False,1
529,2,2,2,False,2
53,2,2,2,False,2
530,0,0,0,False,0
531,2,2,2,False,2
532,0,0,0,False,0
533,0,0,0,False,0
534,1,1,1,False,1
535,1,1,1,False,1
536,0,0,0,False,0
537,0,2,0,True,0
538,2,2,2,False,2
539,2,2,2,False,2
54,2,2,2,False,2
540,2,2,2,False,2
541,2,2,2,False,2
542,2,2,2,False,2
543,0,0,0,False,0
544,1,1,1,False,1
545,2,2,2,False,2
546,0,0,0,False,0
547,2,2,2,False,2
548,0,0,0,False,0
549,1,1,1,False,1
55,2,2,2,False,2
550,2,2,2,False,2
551,0,0,2,False,0
552,2,2,2,False,2
553,0,0,0,False,0
554,2,2,2,False,2
555,1,1,1,False,1
556,2,2,2,False,2
557,2,2,2,False,2
558,0,0,0,False,0
559,0,0,2,False,0
56,2,2,2,False,2
560,2,0,2,True,2
561,0,0,0,False,0
562,2,2,2,False,2
563,0,0,0,False,0
564,2,2,2,False,2
565,2,2,0,False,2
566,2,2,2,False,2
567,0,0,0,False,0
568,2,2,2,False,2
569,1,1,1,False,1
57,2,2,2,False,2
570,0,2,0,True,0
571,1,1,1,False,1
572,2,2,2,False,2
573,2,2,2,False,2
574,1,1,1,False,1
575,0,0,0,False,0
576,0,0,0,False,0
577,0,0,0,False,0
578,2,2,2,False,2
579,1,1,1,False,1
58,0,0,0,False,0
580,2,2,2,False,2
